setup_id,episode,discounted_return,episode_length,success,epsilon,mean_loss,rolling_return,rolling_success_rate,rolling_episode_length,rolling_loss
1,1,-26.58449757638322,50,0,1.0,nan,-26.58449757638322,0.0,50.0,nan
1,2,-19.08334699836463,50,0,0.995,nan,-22.833922287373923,0.0,50.0,nan
1,3,-23.537481994571223,50,0,0.990025,nan,-23.068442189773023,0.0,50.0,nan
1,4,3.122,5,1,0.985074875,nan,-16.520831642329767,0.25,38.75,nan
1,5,10.0,1,1,0.9801495006250001,nan,-11.216665313863814,0.4,31.2,nan
1,6,4.580000000000001,4,1,0.9752487531218751,nan,-8.583887761553179,0.5,26.666666666666668,nan
1,7,-22.2808013049973,50,0,0.9703725093562657,nan,-10.54058969633091,0.42857142857142855,30.0,nan
1,8,-26.029773366709147,39,1,0.9655206468094844,nan,-12.47673765512819,0.5,31.125,nan
1,9,-29.079889791691386,50,0,0.960693043575437,nan,-14.321532336968545,0.4444444444444444,33.22222222222222,nan
1,10,-21.849677601054584,40,1,0.9558895783575597,nan,-15.07434686337715,0.5,33.9,nan
1,11,-17.117241260518586,50,0,0.9511101304657719,nan,-15.260064535844554,0.45454545454545453,35.36363636363637,nan
1,12,-25.035428580301627,50,0,0.946354579813443,nan,-16.074678206215978,0.4166666666666667,36.583333333333336,nan
1,13,-16.32421485771769,50,0,0.9416228069143757,nan,-16.09387333325457,0.38461538461538464,37.61538461538461,nan
1,14,-9.814923689438622,16,1,0.9369146928798039,1.717129369576772,-15.64537693012486,0.42857142857142855,36.07142857142857,1.717129369576772
1,15,-27.26855544993483,50,0,0.9322301194154049,1.2966964542865753,-16.42025549811219,0.4,37.0,1.5069129119316735
1,16,-24.511547149993653,42,1,0.9275689688183278,1.0334224048114957,-16.92596122635478,0.4375,37.3125,1.3490827428916141
1,17,-27.35183966129667,50,0,0.9229311239742362,0.9455780768394471,-17.539248193116066,0.4117647058823529,38.05882352941177,1.2482065763785724
1,18,-7.549202006656319,17,1,0.918316468354365,0.8729285492616541,-16.984245627201638,0.4444444444444444,36.888888888888886,1.1731509709551886
1,19,-19.35906488953212,50,0,0.9137248860125932,0.7743979525566101,-17.109236114692717,0.42105263157894735,37.578947368421055,1.1066921345554255
1,20,-23.743081379053866,50,0,0.9091562615825302,0.646077408194542,-17.440928377910772,0.4,38.2,1.040890030789585
1,21,10.0,1,1,0.9046104802746175,0.4322274625301361,-16.134217502772167,0.42857142857142855,36.42857142857143,0.9648072097571541
1,22,-14.953968267007582,50,0,0.9000874278732445,0.4941786581277847,-16.08056981023741,0.4090909090909091,37.04545454545455,0.9125151484650019
1,23,-15.71794998199542,43,1,0.8955869907338783,0.45386857314165246,-16.06480373074863,0.43478260869565216,37.30434782608695,0.8666504909326671
1,24,-33.853407906622444,50,0,0.8911090557802088,0.4352225434780121,-16.80599557141004,0.4166666666666667,37.833333333333336,0.8274297684367894
1,25,-22.828568057487512,50,0,0.8866535105013078,0.38123606353998185,-17.04689847085314,0.4,38.32,0.7902469596953887
1,26,-16.943086408776463,20,1,0.8822202429488013,0.30391344204545023,-17.042905699234804,0.4230769230769231,37.61538461538461,0.7528366891069319
1,27,-17.52895241832971,45,1,0.8778091417340573,0.3458448515997993,-17.060907429571653,0.4444444444444444,37.888888888888886,0.7237658435707083
1,28,-25.90726688125255,50,0,0.8734200960253871,0.2679507280886173,-17.376848838560257,0.42857142857142855,38.32142857142857,0.6933781692052355
1,29,-26.466800076550957,50,0,0.8690529955452602,0.30470464803278446,-17.69029543297373,0.41379310344827586,38.724137931034484,0.6690860741319571
1,30,-24.247695923660327,50,0,0.8647077305675338,0.23769324287772178,-17.90887544932995,0.4,39.1,0.6437100252346492
1,31,-26.234661083455336,50,0,0.8603841919146962,0.25251310139894484,-18.177449179463025,0.3870967741935484,39.45161290322581,0.6219768627993322
1,32,-17.068446198107026,16,1,0.8560822709551227,0.16327280015684664,-18.142792836295648,0.40625,38.71875,0.5978345437128856
1,33,3.122,5,1,0.851801859600347,0.22753317058086395,-17.49840517458972,0.42424242424242425,37.696969696969695,0.5793194750562846
1,34,-29.90704560818112,50,0,0.8475428503023453,0.2661924525350332,-17.863365187342406,0.4117647058823529,38.05882352941177,0.5644086644600345
1,35,-18.73617570940781,15,1,0.8433051360508336,0.20768175621827442,-17.88830263082999,0.42857142857142855,37.4,0.5481938049945
1,36,-26.040424998518684,50,0,0.8390886103705794,0.2821256659924984,-18.114750474376898,0.4166666666666667,37.75,0.5366256250378912
1,37,-7.255055800000001,9,1,0.8348931673187264,0.20635397690865728,-17.821245212907254,0.43243243243243246,36.972972972972975,0.5228643063658398
1,38,-25.673992366201084,36,1,0.8307187014821328,0.20116717859895694,-18.02789645378341,0.4473684210526316,36.94736842105263,0.5099964212551645
1,39,-15.279901183342005,14,1,0.8265651079747222,0.2878318442297833,-17.957435036592603,0.46153846153846156,36.35897435897436,0.5014516298311114
1,40,1.8098,6,1,0.8224322824348486,0.14512886789937815,-17.463254160677785,0.475,35.6,0.4882544905003065
